,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
117," ""37115""","Madison, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,2013,2566,2646,3010,3085,3175,3849,4688,3132,2375,1754,1586,2083,1787,2623,2790,2276,2729
118," ""37117""","Martin, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,14282,13823,14238,13787,14739,14738,17093,18132,15106,14784,13105,10580,12862,17500,11444,10848,10722,10805
119," ""37117""","Martin, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,3051,3126,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9127,(D),(D),(D),(D)
120," ""37119""","Mecklenburg, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,1597304,1618211,1621517,1718708,1885527,2157562,2283110,2196414,1763610,1582065,1674313,1878295,1970903,2171630,2414846,2718422,2725648,2853652
121," ""37119""","Mecklenburg, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,520628,549968,562735,584887,673611,786992,809856,733604,587032,515095,506863,625545,650579,690635,766459,893728,873483,892179
122," ""37121""","Mitchell, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,9784,8721,7362,7429,9091,12949,12411,9313,(D),9795,8921,(D),(D),(D),(D),(D),11014,11815
123," ""37121""","Mitchell, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),1994,1248,927,(D),(D),(D),(D),(D),(D),(D)
124," ""37123""","Montgomery, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,23160,22492,19786,18091,19393,19603,19044,17350,13239,12967,12564,14548,16899,18891,22434,22435,25087,27862
125," ""37123""","Montgomery, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,13451,14457,12168,9428,9594,9670,9298,7948,5416,(D),4596,(D),6801,7487,(D),(D),(D),17602
126," ""37125""","Moore, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,67748,64050,64964,77451,92831,96428,99037,87597,72863,69783,67026,63671,65320,77663,81475,82321,91958,99900
127," ""37125""","Moore, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,19731,14384,14986,18402,24903,29064,29269,25959,19074,15053,15933,13236,13693,15553,15936,17414,16865,17406
128," ""37127""","Nash, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,63960,64458,73400,80371,95694,98955,110148,105847,91477,85591,87263,95821,91367,91954,107920,112407,124898,133912
